date,city,country,latitude,longitude,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2023-01-01, Asuncion,Paraguay,-25.2637,-57.5759,10.604166666666666,7.391666666666667,182.58333333333334,2.4583333333333335,0.19583333333333333,42.041666666666664
2023-01-02, Asuncion,Paraguay,-25.2637,-57.5759,12.020833333333334,8.420833333333333,262.7916666666667,3.5124999999999997,0.3,27.375
2023-01-03, Asuncion,Paraguay,-25.2637,-57.5759,26.008333333333336,18.2,460.0833333333333,10.170833333333333,0.4791666666666667,34.625
2023-01-04, Asuncion,Paraguay,-25.2637,-57.5759,14.254166666666668,9.945833333333333,212.41666666666666,3.9291666666666667,0.5708333333333333,56.333333333333336
2023-01-05, Asuncion,Paraguay,-25.2637,-57.5759,32.9375,22.95,560.625,15.091666666666667,0.8333333333333334,54.291666666666664
2023-01-06, Asuncion,Paraguay,-25.2637,-57.5759,10.625,7.333333333333333,205.58333333333334,4.9375,0.3875,42.833333333333336
2023-01-07, Asuncion,Paraguay,-25.2637,-57.5759,11.754166666666668,8.020833333333334,181.58333333333334,4.308333333333334,0.3958333333333333,50.416666666666664
2023-01-08, Asuncion,Paraguay,-25.2637,-57.5759,8.4625,5.816666666666666,191.33333333333334,4.229166666666667,0.32916666666666666,51.125
2023-01-09, Asuncion,Paraguay,-25.2637,-57.5759,12.979166666666666,8.987499999999999,243.625,6.1625000000000005,0.3333333333333333,46.541666666666664
2023-01-10, Asuncion,Paraguay,-25.2637,-57.5759,11.4625,7.7375,213.25,4.508333333333334,0.27499999999999997,56.958333333333336
2023-01-11, Asuncion,Paraguay,-25.2637,-57.5759,10.383333333333333,7.058333333333334,200.16666666666666,3.0749999999999997,0.28750000000000003,46.291666666666664
2023-01-12, Asuncion,Paraguay,-25.2637,-57.5759,14.695833333333333,10.1875,217.08333333333334,2.875,0.26666666666666666,31.0
2023-01-13, Asuncion,Paraguay,-25.2637,-57.5759,16.162499999999998,11.283333333333333,219.875,2.7875,0.23750000000000002,24.583333333333332
2023-01-14, Asuncion,Paraguay,-25.2637,-57.5759,14.491666666666667,10.129166666666666,247.66666666666666,2.720833333333333,0.2708333333333333,48.875
2023-01-15, Asuncion,Paraguay,-25.2637,-57.5759,24.191666666666666,16.875,323.75,4.5249999999999995,0.5291666666666667,69.625
2023-01-16, Asuncion,Paraguay,-25.2637,-57.5759,17.545833333333334,12.241666666666667,412.9166666666667,8.9375,0.33749999999999997,43.458333333333336
